City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,atar,20.5169,-13.0499,66.72,24,0,8.66,MR,1613960849
207,teya,60.3778,92.6267,-11.09,87,100,2.3,RU,1613960851
208,waingapu,-9.6567,120.2641,85.05,67,100,3.0,ID,1613960853
209,mahebourg,-20.4081,57.7,77.0,94,75,11.5,MU,1613960855
210,takoradi,4.8845,-1.7554,79.32,84,2,5.08,GH,1613960857
211,ketchikan,55.3422,-131.6461,42.8,70,90,5.57,US,1613960697
212,ahuimanu,21.4447,-157.8378,78.8,65,75,9.22,US,1613960862
213,lata,40.1629,-8.3327,50.0,93,20,4.61,PT,1613960864
214,bridlington,54.0831,-0.1919,48.0,87,100,8.01,GB,1613960868
215,nhulunbuy,-12.2333,136.7667,84.2,84,75,11.5,AU,1613960713
216,goderich,43.7501,-81.7165,24.8,63,100,14.97,CA,1613960872
217,moerai,-22.4333,-151.3333,80.13,77,100,29.82,PF,1613960874
218,porto velho,-8.7619,-63.9039,75.2,94,20,1.14,BR,1613960876
219,velizh,55.6056,31.1967,32.04,99,100,5.79,RU,1613960879
220,viedma,-40.8135,-62.9967,68.45,38,0,18.77,AR,1613960881
221,atasu,48.6814,71.6433,11.28,96,100,11.3,KZ,1613960883
222,rantepao,-2.9701,119.8978,78.12,64,99,3.53,ID,1613960658
223,clyde river,70.4692,-68.5914,-16.6,83,90,8.05,CA,1613960887
224,lasa,46.6166,10.7002,41.0,78,0,4.25,IT,1613960889
225,thabazimbi,-24.5917,27.4116,69.58,72,88,2.59,ZA,1613960891
226,eyl,7.9803,49.8164,71.42,81,100,12.19,SO,1613960893
227,alekseyevka,50.6309,38.6903,32.31,97,99,13.62,RU,1613960895
228,new norfolk,-42.7826,147.0587,66.99,50,96,5.01,AU,1613960898
229,garowe,8.4054,48.4845,61.02,92,74,6.29,SO,1613960900
230,katsuura,35.1333,140.3,68.0,82,0,5.75,JP,1613960902
231,salinopolis,-0.6136,-47.3561,79.23,84,99,9.06,BR,1613960904
232,lom sak,16.7798,101.2422,87.01,60,0,2.3,TH,1613960906
233,darnah,32.767,22.6367,56.12,71,20,15.77,LY,1613960908
234,jumla,29.2747,82.1838,45.32,50,0,2.91,NP,1613960910
235,longyearbyen,78.2186,15.6401,23.0,74,40,11.5,SJ,1613960912
236,smithers,54.7804,-127.1743,37.4,81,90,2.3,CA,1613960914
237,margate,51.3813,1.3862,53.01,80,100,1.99,GB,1613960917
238,zhangjiakou,40.81,114.8794,29.5,77,9,10.92,CN,1613960919
239,te anau,-45.4167,167.7167,70.5,29,100,7.25,NZ,1613960921
240,brae,60.3964,-1.353,44.6,81,26,14.97,GB,1613960923
241,sinnamary,5.3833,-52.95,77.27,86,84,15.26,GF,1613960925
242,mangaratiba,-22.9597,-44.0406,75.2,88,90,9.22,BR,1613960927
243,kruisfontein,-34.0033,24.7314,57.0,86,6,2.82,ZA,1613960929
244,jamsa,61.8642,25.19,14.0,92,90,8.05,FI,1613960931
245,suzhou,31.3114,120.6181,69.01,48,100,5.66,CN,1613960933
246,rome,34.257,-85.1647,46.4,49,40,5.91,US,1613960852
247,victoria,22.2855,114.1577,73.0,72,0,4.09,HK,1613960692
248,verkhoyansk,67.5447,133.385,-26.25,78,100,1.79,RU,1613960940
249,san-pedro,4.7485,-6.6363,76.86,90,40,5.21,CI,1613960944
250,balykshi,47.0667,51.8667,23.0,100,75,13.42,KZ,1613960946
251,poum,-20.2333,164.0167,83.59,78,76,13.51,NC,1613960948
252,santander de quilichao,3.0095,-76.4849,75.2,64,75,12.66,CO,1613960950
253,banff,51.1762,-115.5698,42.8,52,89,10.36,CA,1613960952
254,cooma,-36.2333,149.1333,69.8,68,40,17.27,AU,1613960955
255,pisco,-13.7,-76.2167,75.0,73,0,10.36,PE,1613960957
256,salalah,17.0151,54.0924,71.6,68,20,4.61,OM,1613960765
257,grindavik,63.8424,-22.4338,32.0,93,0,5.75,IS,1613960961
258,gallup,35.5281,-108.7426,33.8,32,1,6.91,US,1613960952
259,puerto escondido,15.85,-97.0667,75.2,88,1,3.44,MX,1613960965
260,norman wells,65.282,-126.8329,-23.8,76,40,2.3,CA,1613960967
261,mogadishu,2.0371,45.3438,77.14,84,100,18.54,SO,1613960837
262,troitsko-pechorsk,62.7084,56.1964,-40.32,80,30,5.82,RU,1613960973
263,hay river,60.8156,-115.7999,-5.8,77,100,9.22,CA,1613960976
264,khovu-aksy,51.1333,93.6,7.54,88,100,2.75,RU,1613960978
265,muborak,39.2553,65.1528,41.81,66,33,9.46,UZ,1613960980
266,ntungamo,-0.8833,29.65,66.88,69,100,3.2,UG,1613960982
267,dingle,10.9995,122.6711,76.3,93,100,5.23,PH,1613960986
268,yakeshi,49.2833,120.7333,-6.84,87,0,9.33,CN,1613960990
269,kabare,-2.4683,28.8242,61.02,86,100,2.51,CD,1613960993
270,imbituba,-28.24,-48.6703,71.6,88,20,1.14,BR,1613960962
271,chuy,-33.6971,-53.4616,68.05,87,0,9.91,UY,1613960999
272,kesova gora,57.5836,37.2922,-2.94,92,100,10.04,RU,1613961003
273,mantua,45.1667,10.7833,46.99,95,89,1.99,IT,1613961008
274,lavrentiya,65.5833,-171.0,-13.97,82,0,4.38,RU,1613961010
275,amahai,-3.3333,128.9167,86.47,61,94,1.32,ID,1613961016
276,college,64.8569,-147.8028,-11.0,70,100,1.59,US,1613961021
277,muros,42.7762,-9.0603,37.99,95,8,1.01,ES,1613961023
278,chimore,-16.9833,-65.1333,75.38,77,100,0.47,BO,1613961025
279,saldanha,-33.0117,17.9442,55.4,76,0,8.05,ZA,1613961035
280,camacha,33.0833,-16.3333,60.8,82,40,17.27,PT,1613961041
281,namibe,-15.1961,12.1522,69.4,75,98,5.88,AO,1613961043
282,luanda,-8.8368,13.2343,78.8,83,75,6.91,AO,1613960980
283,gat,31.61,34.7642,46.0,93,0,1.14,IL,1613961052
284,komsomolskiy,40.4272,71.7189,41.0,87,90,4.61,UZ,1613961054
285,arroyo,41.6096,-4.7969,41.0,93,90,16.11,ES,1613961056
286,harda,22.3333,77.1,72.23,20,0,4.85,IN,1613961058
287,lipin bor,60.2622,37.9763,-16.91,87,100,7.7,RU,1613961060
288,rafsanjan,30.4067,55.9939,48.9,64,0,3.8,IR,1613961063
289,garissa,-0.4536,39.6401,74.77,80,100,6.76,KE,1613961071
290,romans-sur-isere,45.0464,5.0562,48.99,87,0,5.75,FR,1613961073
291,kavarna,43.4333,28.3333,30.0,100,27,1.14,BG,1613961078
292,yining,29.0361,114.5636,76.48,53,99,0.34,CN,1613961080
293,sukhumi,43.0033,41.0153,36.48,78,100,2.86,GE,1613961082
294,tiksi,71.6872,128.8694,-26.0,85,35,5.5,RU,1613961090
295,soure,-0.7167,-48.5233,78.39,87,100,6.15,BR,1613961092
296,demba,-5.51,22.2667,66.51,95,98,1.95,CD,1613961097
297,aykhal,66.0,111.5,-28.21,81,48,1.83,RU,1613961099
298,havoysund,70.9963,24.6622,8.6,72,20,25.32,NO,1613961101
299,tchollire,8.4022,14.1698,67.1,25,23,1.19,CM,1613961103
300,roswell,34.0232,-84.3616,53.6,47,90,5.75,US,1613961104
301,iqaluit,63.7506,-68.5145,-14.01,76,75,2.3,CA,1613960959
302,ballina,-28.8667,153.5667,86.0,54,0,11.5,AU,1613961113
303,narsaq,60.9167,-46.05,12.2,62,95,6.91,GL,1613961115
304,nyurba,63.2842,118.3319,-24.34,84,11,5.06,RU,1613961117
305,kaeo,-35.1,173.7833,75.0,64,89,8.99,NZ,1613961122
306,salvador,13.8333,-88.9167,78.8,69,0,3.44,SV,1613961124
307,maneadero,31.7167,-116.5667,66.0,30,0,3.0,MX,1613961126
308,uyuni,-20.4597,-66.825,55.92,50,100,10.83,BO,1613961131
309,arlit,18.7369,7.3853,59.22,27,0,4.47,NE,1613961133
310,dingli,35.8614,14.3822,55.99,88,40,11.5,MT,1613961135
311,sao joao da barra,-21.6403,-41.0511,75.45,93,100,5.61,BR,1613961137
312,palauig,15.435,119.9045,78.13,73,100,3.44,PH,1613961142
313,kentau,43.5206,68.5094,30.38,76,0,3.85,KZ,1613961148
314,ogre,56.8162,24.614,33.01,93,99,5.75,LV,1613961115
315,redmond,47.674,-122.1215,52.0,87,100,1.01,US,1613961151
316,quelimane,-17.8786,36.8883,80.6,94,0,2.3,MZ,1613961156
317,ancud,-41.8697,-73.8203,53.01,82,75,3.44,CL,1613961159
318,dikson,73.5069,80.5464,1.0,94,100,5.95,RU,1613961161
319,karratha,-20.7377,116.8463,99.99,33,41,10.71,AU,1613961163
320,mount isa,-20.7333,139.5,93.2,40,17,8.05,AU,1613961041
321,fairlie,55.756,-4.8556,44.01,89,100,8.01,GB,1613961169
322,quezon,7.7303,125.0989,86.45,58,42,4.16,PH,1613961172
323,petropavlovsk-kamchatskiy,53.0452,158.6483,35.6,51,40,2.24,RU,1613961174
324,comodoro rivadavia,-45.8667,-67.5,57.2,67,40,8.05,AR,1613961176
325,ontario,34.0633,-117.6509,66.99,15,1,14.97,US,1613960997
326,riyadh,24.6877,46.7219,51.8,62,0,7.52,SA,1613960950
327,maridi,4.9158,29.4742,64.15,29,12,3.42,SS,1613961184
328,kargil,34.5667,76.1,17.64,85,97,2.39,IN,1613961186
329,flinders,-34.5833,150.8552,82.0,71,16,8.99,AU,1613961191
330,byron bay,-28.65,153.6167,86.0,54,0,11.5,AU,1613961193
331,manama,26.2154,50.5832,66.2,77,0,12.66,BH,1613961195
332,tomatlan,19.9333,-105.25,64.98,91,0,1.19,MX,1613961197
333,yenangyaung,20.4667,94.8833,83.52,34,33,2.37,MM,1613961199
334,blackfoot,43.1905,-112.345,32.0,69,75,18.41,US,1613961201
335,hanzhong,33.0728,107.0303,64.58,33,100,1.72,CN,1613961203
